Game,Round,Start Sender Amount,Start Receiver Amount,Amount Sent By Sender,Amount Sent By Receiver,Final Sender Amount,Final Receiver Amount,Sender Promise,Receiver Promise,S_CTrust,S_BTrust,R_CTrust,R_BTrust
1,1,15,0,5,5,15,5,My trust in the Receiver suggests a moderate and balanced approach. I'll send an amount that encourages reciprocity while also considering the possibility of future rounds.,"Thank you for the transaction and your trust in me. In this round, I'll strive to maintain fairness and keep the game competitive, so I'll return half of my current amount.",0.5,0.5,0.5,0.5
1,2,15,5,6,6,15,11,"Given the moderate levels of both competence and benevolence trust, I aim to maintain a balance between maximizing my potential winnings and encouraging reciprocity from the Receiver. As such, I pledge to send an amount that should encourage a fair response without putting me at a significant disadvantage for the remaining rounds.","Thank you for trusting me. In this round, I aim to maintain a balance and ensure fairness in our game, considering both our current positions and the number of rounds left. Therefore, I promise to return $6 to you.",0.69,0.58,0.69,0.38666666666666666
1,3,15,11,10,15,20,16,"Given my high level of competence trust and moderate benevolence trust towards the Receiver, I will send an amount that encourages fair play but also ensures a competitive edge for myself, considering the number of rounds left.

Promise: I will send $10 to you with the hope that we both strive for a win-win situation in the remaining rounds.","Thank you for entrusting me with your funds. Given our history and the current game state, I aim to maintain a balance between competitiveness and fairness. In round 7, I promise to return an amount that encourages continued cooperation while keeping the overall game objective in mind.",0.8799999999999999,0.6599999999999999,0.8799999999999999,0.37333333333333335
1,4,20,16,10,16,26,20,"My trust in the Receiver's competence and fairness suggests that a strategic decision would be to send a significant but not all of my funds, ensuring I have a substantial advantage going into the remaining rounds.

Promise: In this round, I will send $10 to you. I believe this move will allow us both to accumulate more money as the game progresses and increase our chances of winning.","Thank you for your trust. Recognizing the Sender's rationality and aiming to maintain a balance of fairness in our interactions, I will send $16 back, ensuring that we both have a competitive edge during the remaining rounds while maintaining a significant enough difference to potentially win the game.",1.0,0.8399999999999999,1.0,0.5533333333333333
1,5,26,20,13,16,29,30,"Given my high competence trust (Rationality) and benevolence trust (Fairness) towards the Receiver, I will strategically send them an amount that encourages fair play while keeping some funds for potential losses. My promise is to ensure mutual growth in the game.","Thank you for trusting me. As a strategy to maximize my winnings in the remaining rounds while maintaining a fair balance, I will return $16 of the amount received.",1.0,1.0,1.0,0.6333333333333333
1,6,29,30,14,14,29,44,"My strong faith in both competence and fairness in our interaction leads me to believe that this game can foster mutual benefit. In light of the remaining four rounds, I will initiate by sending a substantial portion of my funds, with the hope of it being strategically returned for a potential advantage.","Thank you for placing your trust in me. In order to maintain a competitive edge while also ensuring fairness, I will return $14 in this round, leaving me with $44 and the Sender with $29. This decision is based on my high competence trust, recognizing our shared goal of winning the game, and my moderate benevolence trust towards you. Good luck in the upcoming rounds!",1.0,1.0,1.0,0.7133333333333333
1,7,29,44,14,12,27,60,"My trust in both competence and benevolence towards the Receiver is unwavering, given our past interactions and current game state. To maximize my chances of winning while maintaining fairness and encouraging cooperation, I will send $14 to the Receiver.","Thank you for your trust. In the spirit of fair competition and considering our current game state, I will return an amount that balances strategy and fairness.",1.0,1.0,1.0,0.7659770114942528
1,8,27,60,10,17,34,63,"My trust in the Receiver's competence and benevolence suggests that it would be advantageous to maintain a reasonable balance of funds for both parties. Therefore, I will send an amount that encourages a fair return while ensuring I still have a competitive advantage going into the final round.","Thank you for trusting me in this game. Given our current positions and considering the Sender's demonstrated rationality and fairness, I will strategically help them to win by sending back $17. This move will level our scores, giving us equal chances in the final rounds.",1.0,0.8571428571428572,1.0,0.8168053904082441
1,9,34,63,34,26,26,105,"Given my high level of confidence in both the Receiver's rationality and fairness, I will make an optimistic move to maximize our combined winnings for the final round. I promise to send all $34 to the Receiver, expecting a reasonable and fair amount to be returned, aiming for the best possible outcome for us both in this last game.","Thank you for the trust placed in me. In light of our shared goal and the game state, I commit to sending a portion that ensures a fair outcome while also maintaining a competitive edge.",1.0,1.0,1.0,0.6643002891912918
1,10,26,105,13,7,20,124,"Given my high competence trust and reasonable benevolence trust towards the Receiver, I aim to maintain a fair and strategic approach. As such, I promise to send an amount that both encourages a fair return and keeps the game exciting.","Thank you for your trust. In the spirit of fairness and considering our shared goal to maximize winnings in this final round, I will return an amount that would still leave me with a substantial advantage while not compromising the Sender's potential gains. Therefore, I promise to send back $7.",1.0,0.7647058823529411,1.0,0.8443002891912917
2,1,15,0,5,5,15,5,"Given my moderate trust in the Receiver's rationality and fairness, I will send an amount that aims to maintain a competitive edge while encouraging reciprocation. In this game situation, I will send $5.50.","Thank you for playing the game with me. Given our current equal standing and moderate levels of competence and benevolence trust, I propose to follow a cooperative strategy by sending back half of my money to maintain a balanced score for these upcoming rounds, as we both aim to maximize our winnings at the end of the game.",0.5,0.5,0.5,0.5
2,2,15,5,8,6,13,15,"Given my moderately high level of trust in the Receiver's rationality and fairness, I will send an amount that maximizes our potential winnings while also considering the need to maintain some funds for future rounds.

My promise: If you prove your competence and fairness as expected, I will send $8.","Thank you for trusting me in this game. Given my assessment of your competence and benevolence, I will aim to maintain a balanced strategy that considers both fairness and the overall goal of winning the game. Therefore, I will send back $6, which should encourage cooperation while still leaving us competitive as the game progresses.",0.69,0.58,0.69,0.38666666666666666
2,3,13,15,8,4,9,27,"Given my trust in the Receiver's rationality (Competence Trust) and fairness (Benevolence Trust), I will aim to maintain a competitive edge while also encouraging reciprocity. Therefore, I promise to send $8, hoping for a balanced response that will keep us both within a close range as we approach the end of the game, with the potential for strategic gains in the following rounds.","Thank you for your continued trust in this game. In an effort to maintain a balance and ensure fairness while also increasing my chances of winning, I propose to keep $4 as my send-back amount. This decision is based on my competence trust in you (0.88) and my goal to maximize my winnings while still considering your potential for strategic play.",0.8799999999999999,0.49499999999999994,0.8799999999999999,0.5519626328613204
2,4,9,27,4,5,10,30,"Given my high competence trust in the Receiver's rationality and considering our goal to maximize our winnings, I will send a moderate amount with the hope of receiving a fair share back, as my benevolence trust is somewhat low. However, I am optimistic about the Receiver's ability to make a strategic decision.","Thank you for the transaction and for placing your trust in me. Given our current game state and considering my high level of competence trust and slightly lower benevolence trust towards the sender, I aim to maximize my chances of winning while also maintaining fairness and reciprocity. Therefore, I will send $5 back to you.",1.0,0.2875,1.0,0.7319626328613204
2,5,10,30,5,6,11,34,"My trust in the Receiver's competence is high, but there is room for improvement in fairness. Given the game state and my goal to maximize winnings, I will make a strategic move by sending an amount that encourages reciprocation without putting too much faith in their benevolence.","Thank you for entrusting me with your funds. Given our previous interactions and the game state, I aim to maintain a balance between competition and fairness. In this round, I will return an amount that allows us both to continue playing competitively while not compromising my advantage too much. Therefore:

Promise: I will send back $6, ensuring a fair play and competitive edge for the remaining rounds.",1.0,0.4674999999999999,1.0,0.7217445625433958
2,6,11,34,9,9,11,43,"My trust in the Receiver's competence and fairness, combined with the game strategy, suggests that it would be advantageous to increase my current funds for potential higher returns in future rounds. Thus, I will send $9 to the Receiver.","Thank you for the transaction and your trust in me. Given our current game state and considering both competence and benevolence, I aim to play strategically while maintaining fairness. I promise to return an amount that will keep the game interesting yet allow us to proceed towards a balanced end-game scenario.",1.0,0.6474999999999999,1.0,0.8017445625433958
2,7,11,43,8,10,13,49,"Given my high competence trust and relatively strong benevolence trust in the Receiver, I am inclined to demonstrate confidence in their decision-making abilities while also ensuring that I maintain a significant advantage heading into the final rounds. Therefore, I promise to send $8, expecting a fair return considering our current game state and mutual interests in winning the game.","Thank you for the continued trust in me. In light of the game situation and my high level of competence and benevolence trust in the Sender, I commit to returning a sum that is advantageous for both of us. To achieve a balanced outcome, I will send back $10.",1.0,0.7274999999999998,1.0,0.9817445625433957
2,8,13,49,8,10,15,55,"Given the high competence trust and fairness level displayed by the Receiver, I am willing to make a strategic move that could potentially yield a higher reward for both parties in the remaining rounds.

Promise: In this round, I will send $8 to you, expecting a return that benefits us both in the long run.","Thank you for trusting me in this game. Given our mutual high trust levels and my aim to maintain a competitive edge, I will double the Sender's money as a strategic move to enhance their chances of winning while also maintaining my lead.",1.0,0.9074999999999998,1.0,1.0
2,9,15,55,14,16,17,67,"Given the high level of competence and benevolence trust in the Receiver, I will aim to maximize the total money for both of us in this final round. To do this, I will send $14. This leaves me with $1, and the Receiver will have $69 after doubling. The Receiver, being fair and rational, should return an amount that ensures a win for both of us in the last round.","Thank you for your continued trust in me. Given our current financial positions and the upcoming round being the last one, I intend to ensure a fair game ending. Therefore, I promise to return $16 to you, leaving both of us with an equal chance to win the final round.",1.0,1.0,1.0,1.0
2,10,17,67,1,2,18,67,"Given my trust in the Receiver's competence and fairness, I will strive to maximize the total wealth at the end of the game while maintaining a balanced approach that ensures a win-win situation for both parties. Thus, I promise to send $1 to the Receiver.","Thank you for entrusting me with your funds. Given our high levels of competence and benevolence trust, and considering that we both wish to win the game, I will return an amount that ensures a favorable outcome without compromising our relationship.",1.0,1.0,1.0,1.0
3,1,15,0,6,6,15,6,"Given my moderate competence trust and fairness perception towards the Receiver, I shall strategically aim to maximize my potential winnings while maintaining a sense of fairness. Therefore, I promise to send $6 initially, with the expectation that the Receiver will return an equal or slightly lesser amount considering our current game state and the number of rounds remaining.","Thank you for trusting me. Given the current game state and my moderate trust in both competence and benevolence, I will aim to maintain a balanced strategy that ensures fairness while also considering the potential for future rounds. Therefore, I will send back $6, keeping $6 for myself. This decision is intended to neither provide an unfair advantage nor leave me at a significant disadvantage.",0.5,0.5,0.5,0.5
3,2,15,6,5,6,16,10,"My trust in the Receiver's rationality and fairness is moderate. Given the number of rounds left, it seems strategic to send an amount that could potentially result in a significant gain if the Receiver decides to return a substantial portion. Therefore, I will send $5 with the hope that the Receiver will recognize the potential for mutual benefit and send back an amount that will further enhance our collective position.","Thank you for the transaction. In an attempt to maintain a fair game and foster mutual trust, I will return $6 in this round, leaving me with $10 and the Sender with $16. Let's continue our strategic game together!",0.69,0.58,0.69,0.46399999999999997
3,3,16,10,5,6,17,14,"Given my faith in the Receiver's rationality and fairness, I will send a substantial yet strategic amount to maximize our chances of winning the game. I hope that this decision reflects both my trust in your competence and benevolence.","Thank you for the transaction. Given our current game state and my moderate competence trust in you, along with some level of benevolence, I will return an amount that balances fairness and potential strategy for the upcoming rounds. Therefore, I promise to send back $6.",0.8799999999999999,0.7599999999999999,0.8799999999999999,0.36266666666666664
3,4,17,14,8,10,19,20,"Given my high competence trust and near-complete benevolence trust in the Receiver, I will send an amount that maximizes our combined gain while also promoting fairness in the game. Therefore, I promise to send $8, aiming for a return of approximately $16, which would give me $24 and the Receiver $30, positioning us both well for the remaining rounds of the game.","Thank you for placing your trust in me. Given our current financial situation and considering my assessment of your fairness, I plan to maintain an equal distribution of resources in this round to encourage continued cooperation. I will send you $10.",1.0,0.9399999999999998,1.0,0.27666666666666667
